Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/22/2026,08/22/2026,SQ*BLUE BOTTLE COFFEE*5699,,Sale,-48.25,
08/22/2026,08/22/2026,TARGET T-2213 UNION CITY CA,,Sale,-47.90,
08/22/2026,08/22/2026,VENMO*PAYMENT,,Sale,-93.26,
08/25/2026,08/25/2026,HULU 888-265-6650,,Sale,-9.99,
08/25/2026,08/25/2026,VENMO*PAYMENT,,Sale,-9.90,
08/27/2026,08/27/2026,COSTCO WHSE #1229 MIAMI FL,,Sale,-39.87,
08/27/2026,08/27/2026,SQ *PHILZ COFFEE,,Sale,-17.19,
08/27/2026,08/27/2026,SQ *PHILZ COFFEE,,Sale,-36.60,
08/28/2026,08/28/2026,PSP*convenient store NY,,Sale,-88.02,
08/28/2026,08/28/2026,TST* TARTINE BAKERY 0091,,Sale,-24.23,
08/28/2026,08/28/2026,ZXC* Site Access 800-123-4567,,Sale,-12.00,
08/29/2026,08/29/2026,SAFEWAY #1842 FREMONT CA,,Sale,-28.40,
08/29/2026,08/29/2026,TARGET T-2213 UNION CITY CA,,Sale,-24.40,
08/30/2026,08/30/2026,PAYPAL *ETSY INC 4029357733,,Sale,-20.73,
